NAME,Type,District,Management,Long,Lat
Po Lam Sitting-out Area,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.254,22.3273
Tui Min Hoi Rest Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.272,22.3749
Hong Kin Road Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.273,22.3776
Ta Ho Tun Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.262,22.3711
Sha Kok Mei Playground and Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.268,22.3879
Pak Shek Terrace Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.246,22.3378
Sheung Sze Wan Sitting-out Area,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.292,22.3058
Pik Shui San Tsuen Rest Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.259,22.3417
Wo Mei Rest Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.254,22.3512
Po Lo Che Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.265,22.3823
Mau Tai Road Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.257,22.3211
Silver Cape Road Sitting-out Area,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.272,22.3206
Ma Yau Tong Rest Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.245,22.3174
The Portofino ground level,Walking Track,Sai Kung,Private Owner,114.29,22.309
Yim Tin Tsai Lookout,Lookout,Sai Kung,Leisure and Cultural Services Department,114.305,22.3753
Tong Ming Street Park,Park,Sai Kung,Leisure and Cultural Services Department,114.26,22.3104
Hang Hau Man Kuk Lane Park,Park,Sai Kung,Leisure and Cultural Services Department,114.265,22.3131
Tai Wan Tau Garden,Park,Sai Kung,Leisure and Cultural Services Department,114.294,22.2906
Po Hong Park,Park,Sai Kung,Leisure and Cultural Services Department,114.258,22.3187
Po Tsui Park,Park,Sai Kung,Leisure and Cultural Services Department,114.253,22.3249
Sai Kung Park,Park,Sai Kung,Leisure and Cultural Services Department,114.27,22.3806
